Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,dc1-borderleaf1,Ethernet3,10.255.255.65/31,spine,dc1-spine1,Ethernet7,10.255.255.64/31
l3leaf,dc1-borderleaf1,Ethernet4,10.255.255.67/31,spine,dc1-spine2,Ethernet7,10.255.255.66/31
l3leaf,dc1-borderleaf1,Ethernet5,10.255.255.69/31,spine,dc1-spine3,Ethernet7,10.255.255.68/31
l3leaf,dc1-borderleaf1,Ethernet6,10.255.255.71/31,spine,dc1-spine4,Ethernet7,10.255.255.70/31
l3leaf,dc1-borderleaf2,Ethernet3,10.255.255.73/31,spine,dc1-spine1,Ethernet8,10.255.255.72/31
l3leaf,dc1-borderleaf2,Ethernet4,10.255.255.75/31,spine,dc1-spine2,Ethernet8,10.255.255.74/31
l3leaf,dc1-borderleaf2,Ethernet5,10.255.255.77/31,spine,dc1-spine3,Ethernet8,10.255.255.76/31
l3leaf,dc1-borderleaf2,Ethernet6,10.255.255.79/31,spine,dc1-spine4,Ethernet8,10.255.255.78/31
l3leaf,dc1-leaf1,Ethernet3,10.255.255.33/31,spine,dc1-spine1,Ethernet3,10.255.255.32/31
l3leaf,dc1-leaf1,Ethernet4,10.255.255.35/31,spine,dc1-spine2,Ethernet3,10.255.255.34/31
l3leaf,dc1-leaf1,Ethernet5,10.255.255.37/31,spine,dc1-spine3,Ethernet3,10.255.255.36/31
l3leaf,dc1-leaf1,Ethernet6,10.255.255.39/31,spine,dc1-spine4,Ethernet3,10.255.255.38/31
l3leaf,dc1-leaf2,Ethernet3,10.255.255.41/31,spine,dc1-spine1,Ethernet4,10.255.255.40/31
l3leaf,dc1-leaf2,Ethernet4,10.255.255.43/31,spine,dc1-spine2,Ethernet4,10.255.255.42/31
l3leaf,dc1-leaf2,Ethernet5,10.255.255.45/31,spine,dc1-spine3,Ethernet4,10.255.255.44/31
l3leaf,dc1-leaf2,Ethernet6,10.255.255.47/31,spine,dc1-spine4,Ethernet4,10.255.255.46/31
l3leaf,dc1-leaf3,Ethernet3,10.255.255.49/31,spine,dc1-spine1,Ethernet5,10.255.255.48/31
l3leaf,dc1-leaf3,Ethernet4,10.255.255.51/31,spine,dc1-spine2,Ethernet5,10.255.255.50/31
l3leaf,dc1-leaf3,Ethernet5,10.255.255.53/31,spine,dc1-spine3,Ethernet5,10.255.255.52/31
l3leaf,dc1-leaf3,Ethernet6,10.255.255.55/31,spine,dc1-spine4,Ethernet5,10.255.255.54/31
l3leaf,dc1-leaf4,Ethernet3,10.255.255.57/31,spine,dc1-spine1,Ethernet6,10.255.255.56/31
l3leaf,dc1-leaf4,Ethernet4,10.255.255.59/31,spine,dc1-spine2,Ethernet6,10.255.255.58/31
l3leaf,dc1-leaf4,Ethernet5,10.255.255.61/31,spine,dc1-spine3,Ethernet6,10.255.255.60/31
l3leaf,dc1-leaf4,Ethernet6,10.255.255.63/31,spine,dc1-spine4,Ethernet6,10.255.255.62/31
